Youth &amp; Pre-College Programs | Undergraduate Admissions - The ...	http://admissions.uiowa.edu/parents-family/youth-pre-college-programs
Jr High &amp; High School Summer Camps - Alpine Christian Summer ...	http://alpine-cc.org/jh_hs_summercamp/
Summer Youth Camps &#8211; Camp JIM	http://campjim.org/camps/summer-youth-camps/
stem &#8220;2015&#8221; summer camp opportunities - Cherry Creek High School	http://cherrycreek.cherrycreekschools.org/stem/PublishingImages/Pages/STEM/STEM%2520Summer%2520Camp%2520Opportunities%25202015%2520for%2520Middle%2520and%2520High%2520School%2520Students.pdf
College Lists / Summer Programs - for middle school students	http://collegelists.pbworks.com/w/page/63530076/Summer%2520Programs%2520-%2520for%2520middle%2520school%2520students
Cornerstone High School Computer Programming Class Prepares ...	http://cornerstonechristianacademy.com/cornerstone-high-school-computer-programming-class-prepares-students-marketplace/
Khan Academy Computing: Kids Coding Classes in the Bay Area	http://cs-blog.khanacademy.org/2013/09/kids-coding-classes-in-bay-area.html
UT In The Community	http://diversity.utexas.edu/ut-in-the-community/
Engage in STEM | Jr High/High School	http://engageinstemfc.com/jr-highhigh-school/
K-12 &amp; High School Events - Engineering | Engineering // Mizzou ...	http://engineering.missouri.edu/k-12/
Summer Camps - Gateway Educational Services	http://gatewaycamps.com/summer-camps/
JR. HIGH - Summer Camps - Horizon Youth Programs	http://hyp.horizonsd.org/hyp/%3Fp%3D40
K-12 Summer Programs 2016 - The University of Alabama	http://k12summer.ua.edu/
11 Summer Camps for Boston Kids who Love STEM ...	http://mommypoppins.com/bostonkids/5-summer-camp-options-for-boston-area-kids-who-love-science-technology-engineering-and-ma
JR. HIGH SUMMER CAMP - Neighborhood Church	http://neighborhood.cc/jrhigh/summercamp/
University of Arkansas Engineering Summer Camp Information	http://ramay.fayar.net/pages/Ramay_Junior_High_School/University_of_Arkansas_Enginee
Academic Youth Camps - Stanford University	http://rde-web1.stanford.edu/conference/camps/youth.do%3Fmethod%3Dacademic
4-H Summer Camp - Tennessee 4-H Youth Development	https://4h.tennessee.edu/Pages/summercamps.aspx
Engineering Summer Camp for Middle School &amp; High School Kids ...	https://blogs.msdn.microsoft.com/mis_laboratory/2008/07/15/engineering-summer-camp-for-middle-school-high-school-kids-with-results/
summer 2016 activities for students - Oklahoma State Department of ...	http://sde.ok.gov/sde/sites/ok.gov.sde/files/Summer%2520Camps%2520Enrichment%25202016.pdf
UCSB STEM Outreach Programs Offered | The Gevirtz School ...	https://education.ucsb.edu/impact/local/stem-outreach
